Timestamp,Company_Code,Closing price,total_trade_qty
2018-02-01,20MICRONS,52.15,53466
2018-02-02,20MICRONS,48.55,160014
2018-02-03,20MICRONS,48,162412
2018-02-04,20MICRONS,45.2,124918
2018-02-05,20MICRONS,49.15,135291
2018-02-06,20MICRONS,52,106310
2018-02-07,20MICRONS,54,115083
2018-02-08,20MICRONS,54.35,112968
2018-02-09,20MICRONS,55.1,135961
2018-02-10,20MICRONS,53.95,244428
2018-02-11,20MICRONS,52.15,79203
2018-02-12,20MICRONS,50.25,71043
2018-02-13,20MICRONS,51,49685
2018-02-14,20MICRONS,50.35,46224
2018-02-15,20MICRONS,50.25,43080
2018-02-16,20MICRONS,51.85,238066
2018-02-17,20MICRONS,50.85,638176
2018-02-18,20MICRONS,50.6,103016
2018-02-19,20MICRONS,50.5,59193
2018-02-20,20MICRONS,50.15,48909
2018-02-21,20MICRONS,48.7,58492
2018-02-22,20MICRONS,47.2,81163
2018-02-23,20MICRONS,45.15,80684
2018-02-24,20MICRONS,44.75,81733
2018-02-25,20MICRONS,42.55,105299
2018-02-26,20MICRONS,46.85,507890
2018-02-27,20MICRONS,51.5,908151
2018-02-28,20MICRONS,51.2,205050
2018-03-01,20MICRONS,52,178321
2018-03-02,20MICRONS,50.65,68773
2018-03-03,20MICRONS,49,67983
2018-03-04,20MICRONS,48.7,193175
2018-03-05,20MICRONS,48.45,111694
2018-03-06,20MICRONS,46.95,70697
2018-02-01,3IINFOTECH,5.9,7116046
2018-02-02,3IINFOTECH,5.65,5203608
2018-02-03,3IINFOTECH,5.9,5600089
2018-02-04,3IINFOTECH,6.15,8955746
2018-02-05,3IINFOTECH,6.25,5614273
2018-02-06,3IINFOTECH,6.35,3747106
2018-02-07,3IINFOTECH,6.05,9163948
2018-02-08,3IINFOTECH,5.9,6196424
2018-02-09,3IINFOTECH,6.15,6354566
2018-02-10,3IINFOTECH,5.85,8377884
2018-02-11,3IINFOTECH,5.6,5588805
2018-02-12,3IINFOTECH,5.7,2533088
2018-02-13,3IINFOTECH,5.7,2911498
2018-02-14,3IINFOTECH,5.7,2910036
2018-02-15,3IINFOTECH,5.55,2855012
2018-02-16,3IINFOTECH,5.8,2836241
2018-02-17,3IINFOTECH,5.85,2770765
2018-02-18,3IINFOTECH,5.7,1211363
2018-02-19,3IINFOTECH,5.85,2548448
2018-02-20,3IINFOTECH,5.85,1909081
2018-02-21,3IINFOTECH,5.7,3244446
2018-02-22,3IINFOTECH,5.6,3263004
2018-02-23,3IINFOTECH,5.65,4482801
2018-02-24,3IINFOTECH,5.4,5701034
2018-02-25,3IINFOTECH,5.2,3664531
2018-02-26,3IINFOTECH,5.15,5032744
2018-02-27,3IINFOTECH,5.35,2243805
2018-02-28,3IINFOTECH,5.15,8083725
2018-03-01,3IINFOTECH,5,7267342
2018-03-02,3IINFOTECH,4.75,9956211
2018-03-03,3IINFOTECH,4.55,4189466
2018-03-04,3IINFOTECH,4.65,3511810
2018-03-05,3IINFOTECH,4.85,4037474
2018-03-06,3IINFOTECH,5.05,4272121
2018-02-01,3MINDIA,19282.05,2613
2018-02-02,3MINDIA,18317.5,21196
2018-02-03,3MINDIA,18943.1,6206
2018-02-04,3MINDIA,18462,2756
2018-02-05,3MINDIA,18468.85,1480
2018-02-06,3MINDIA,18515.1,1717
2018-02-07,3MINDIA,18924.45,8807
2018-02-08,3MINDIA,21706.7,22085
2018-02-09,3MINDIA,20689.1,4347
2018-02-10,3MINDIA,20402.9,2372
2018-02-11,3MINDIA,19922.35,1921
2018-02-12,3MINDIA,20218.6,4786
2018-02-13,3MINDIA,20497.95,3516
2018-02-14,3MINDIA,20543.45,1446
2018-02-15,3MINDIA,20725.25,1608
2018-02-16,3MINDIA,20733.8,1212
2018-02-17,3MINDIA,20691.65,906
2018-02-18,3MINDIA,20564.8,642
2018-02-19,3MINDIA,20717.4,1344
2018-02-20,3MINDIA,21012.8,3891
2018-02-21,3MINDIA,20832.6,2602
2018-02-22,3MINDIA,20747.9,2669
2018-02-23,3MINDIA,20428.85,1155
2018-02-24,3MINDIA,20349.3,1235
2018-02-25,3MINDIA,20253.1,2296
2018-02-26,3MINDIA,20108.5,5596
2018-02-27,3MINDIA,20171.7,719
2018-02-28,3MINDIA,20116.15,526
2018-03-01,3MINDIA,20069.85,1141
2018-03-02,3MINDIA,19991.6,2113
2018-03-03,3MINDIA,19689.15,756
2018-03-04,3MINDIA,19608.65,645
2018-03-05,3MINDIA,19530.95,1026
2018-03-06,3MINDIA,19530.35,745
2018-02-01,AARTIDRUGS,622.5,6188
2018-02-02,AARTIDRUGS,589.95,11400
2018-02-03,AARTIDRUGS,591.65,11731
2018-02-04,AARTIDRUGS,594,10580
2018-02-05,AARTIDRUGS,608,9903
2018-02-06,AARTIDRUGS,612.55,12386
2018-02-07,AARTIDRUGS,612.4,5524
2018-02-08,AARTIDRUGS,624.75,10859
2018-02-09,AARTIDRUGS,656.35,37291
2018-02-10,AARTIDRUGS,655.8,8438
2018-02-11,AARTIDRUGS,648.8,5556
2018-02-12,AARTIDRUGS,624.05,5282
2018-02-13,AARTIDRUGS,629.05,6742
2018-02-14,AARTIDRUGS,607.7,9095
2018-02-15,AARTIDRUGS,607,4736
2018-02-16,AARTIDRUGS,613.15,3244
2018-02-17,AARTIDRUGS,609.15,3254
2018-02-18,AARTIDRUGS,603.7,2433
2018-02-19,AARTIDRUGS,600.4,3938
2018-02-20,AARTIDRUGS,607.85,2974
2018-02-21,AARTIDRUGS,589.7,3258
2018-02-22,AARTIDRUGS,587.2,3664
2018-02-23,AARTIDRUGS,570.1,5275
2018-02-24,AARTIDRUGS,558.6,7517
2018-02-25,AARTIDRUGS,558.85,15094
2018-02-26,AARTIDRUGS,533,33830
2018-02-27,AARTIDRUGS,542.1,25343
2018-02-28,AARTIDRUGS,541.5,17248
2018-03-01,AARTIDRUGS,565.35,34429
2018-03-02,AARTIDRUGS,550.15,8271
2018-03-03,AARTIDRUGS,540.8,6720
2018-03-04,AARTIDRUGS,528.55,8233
2018-03-05,AARTIDRUGS,527.4,5606
2018-03-06,AARTIDRUGS,526.05,5854
2018-02-01,AARTIIND,1100.1,60307
2018-02-02,AARTIIND,1090.45,175132
2018-02-03,AARTIIND,1105.3,35630
2018-02-04,AARTIIND,1100.25,120459
2018-02-05,AARTIIND,1125.65,39525
2018-02-06,AARTIIND,1137.35,27145
2018-02-07,AARTIIND,1139.2,27632
2018-02-08,AARTIIND,1132.65,8464
2018-02-09,AARTIIND,1183.1,70502
2018-02-10,AARTIIND,1180.2,55581
2018-02-11,AARTIIND,1169,18365
2018-02-12,AARTIIND,1155.9,29007
2018-02-13,AARTIIND,1169.95,38706
2018-02-14,AARTIIND,1167.25,19661
2018-02-15,AARTIIND,1155.1,6328
2018-02-16,AARTIIND,1170.4,15067
2018-02-17,AARTIIND,1144.85,47492
2018-02-18,AARTIIND,1156.3,14814
2018-02-19,AARTIIND,1173.05,89962
2018-02-20,AARTIIND,1172.25,40353
2018-02-21,AARTIIND,1161.85,22331
2018-02-22,AARTIIND,1159.55,11447
2018-02-23,AARTIIND,1150.45,29027
2018-02-24,AARTIIND,1165.9,24067
2018-02-25,AARTIIND,1168,19272
2018-02-26,AARTIIND,1156.55,28922
2018-02-27,AARTIIND,1193.9,112367
2018-02-28,AARTIIND,1189.9,60987
2018-03-01,AARTIIND,1166.5,52920
2018-03-02,AARTIIND,1155.85,35960
2018-03-03,AARTIIND,1141.15,24683
2018-03-04,AARTIIND,1112.3,20509
2018-03-05,AARTIIND,1106,40539
2018-03-06,AARTIIND,1090.3,48977
2018-02-01,AARVEEDEN,48.85,33294
2018-02-02,AARVEEDEN,46,33913
2018-02-03,AARVEEDEN,45.1,33060
2018-02-04,AARVEEDEN,42.1,61118
2018-02-05,AARVEEDEN,43.8,22418
2018-02-06,AARVEEDEN,47.8,36044
2018-02-07,AARVEEDEN,47.05,39263
2018-02-08,AARVEEDEN,50,41662
2018-02-09,AARVEEDEN,54.45,188263
2018-02-10,AARVEEDEN,52.5,54928
2018-02-11,AARVEEDEN,51.4,34816
2018-02-12,AARVEEDEN,47.85,64327
2018-02-13,AARVEEDEN,48.65,10959
2018-02-14,AARVEEDEN,48.25,16826
2018-02-15,AARVEEDEN,48.15,9252
2018-02-16,AARVEEDEN,49.45,11064
2018-02-17,AARVEEDEN,49.35,11961
